City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Grants Pass,US,2021-05-25 01:51:58,42.439,-123.3284,71.11,36,40,1.99
92,Aden,YE,2021-05-25 01:51:13,12.7794,45.0367,85.87,73,42,10.16
93,Harboore,DK,2021-05-25 01:51:58,56.6175,8.1807,51.1,98,100,7.36
94,Constitucion,CL,2021-05-25 01:50:29,-35.3333,-72.4167,54.61,85,11,8.03
95,Henties Bay,NA,2021-05-25 01:51:59,-22.116,14.2845,68.86,59,23,0.76
96,Beringovskiy,RU,2021-05-25 01:51:59,63.05,179.3167,33.33,92,100,10.42
97,Baherden,TM,2021-05-25 01:51:59,38.4362,57.4316,81.68,30,34,1.99
98,Hami,CN,2021-05-25 01:49:10,42.8,93.45,78.21,13,0,2.55
99,Price,US,2021-05-25 01:52:00,39.5994,-110.8107,67.26,22,20,10.36
100,New Norfolk,AU,2021-05-25 01:52:00,-42.7826,147.0587,62.89,51,100,7.43
101,Mayenne,FR,2021-05-25 01:52:00,48.3333,-0.6667,42.24,97,9,7.87
102,Bredasdorp,ZA,2021-05-25 01:52:01,-34.5322,20.0403,54.28,86,95,3.85
103,Kahului,US,2021-05-25 01:52:01,20.8947,-156.47,86.02,67,40,10.36
104,Iqaluit,CA,2021-05-25 01:52:01,63.7506,-68.5145,19.13,57,75,11.99
105,Kristinehamn,SE,2021-05-25 01:52:02,59.3098,14.1081,51.51,84,100,9.51
106,Kutum,SD,2021-05-25 01:52:02,14.2,24.6667,73.6,14,98,7.25
107,Aswan,EG,2021-05-25 01:52:02,24.0934,32.907,79.56,19,0,7.36
108,Sherlovaya Gora,RU,2021-05-25 01:52:03,50.5667,116.25,47.57,35,9,16.49
109,Killybegs,IE,2021-05-25 01:52:03,54.6333,-8.45,47.82,88,29,11.77
110,Kodiak,US,2021-05-25 01:52:04,57.79,-152.4072,56.71,58,1,6.91
111,Pitimbu,BR,2021-05-25 01:52:04,-7.4706,-34.8086,75.79,75,41,9.17
112,Lebu,CL,2021-05-25 01:52:04,-37.6167,-73.65,53.4,91,39,3.85
113,Visby,SE,2021-05-25 01:52:05,57.6409,18.296,49.95,81,100,11.52
114,Moussoro,TD,2021-05-25 01:52:05,13.6408,16.4901,83.77,9,67,10.76
115,Ayia Galini,GR,2021-05-25 01:52:05,35.1,24.6833,71.85,37,0,5.57
116,Tazovskiy,RU,2021-05-25 01:52:06,67.4667,78.7,29.28,75,10,11.01
117,Thompson,CA,2021-05-25 01:52:06,55.7435,-97.8558,50.16,93,90,8.05
118,Namibe,AO,2021-05-25 01:52:06,-15.1961,12.1522,73.29,63,0,7.27
119,Tura,IN,2021-05-25 01:52:07,25.5198,90.2201,75.24,89,100,1.92
120,Hasaki,JP,2021-05-25 01:52:07,35.7333,140.8333,80.19,64,10,6.08
121,Port Blair,IN,2021-05-25 01:52:07,11.6667,92.75,77.04,83,90,8.05
122,Ziro,IN,2021-05-25 01:52:08,27.6333,93.8333,66.49,79,94,0.67
123,Aklavik,CA,2021-05-25 01:52:08,68.2191,-135.0107,50.72,59,18,9.91
124,Ancud,CL,2021-05-25 01:52:08,-41.8697,-73.8203,47.23,74,100,7.43
125,Georgetown,MY,2021-05-25 01:47:11,5.4112,100.3354,87.73,80,20,1.01
126,Charters Towers,AU,2021-05-25 01:52:09,-20.1,146.2667,77.09,45,9,12.37
127,Khatanga,RU,2021-05-25 01:52:09,71.9667,102.5,32.49,100,100,6.06
128,The Pas,CA,2021-05-25 01:52:09,53.8251,-101.2541,57.22,83,90,5.57
129,Lagoa,PT,2021-05-25 01:52:10,39.05,-27.9833,61.68,71,100,15.52
130,Dikson,RU,2021-05-25 01:52:10,73.5069,80.5464,26.71,84,13,8.05
131,Pangnirtung,CA,2021-05-25 01:52:10,66.1451,-65.7125,23.0,86,90,11.5
132,Savasleyka,RU,2021-05-25 01:52:11,55.4606,42.3207,53.37,82,100,4.5
133,Nikolskoye,RU,2021-05-25 01:52:11,59.7035,30.7861,46.4,87,84,2.71
134,Ust-Ilimsk,RU,2021-05-25 01:52:11,58.0006,102.6619,44.55,96,100,6.26
135,Port Alfred,ZA,2021-05-25 01:52:12,-33.5906,26.891,68.0,55,100,9.69
136,Salinopolis,BR,2021-05-25 01:52:12,-0.6136,-47.3561,80.89,83,21,12.12
137,Torbay,CA,2021-05-25 01:52:12,47.6666,-52.7314,31.75,79,3,12.82
138,Chapais,CA,2021-05-25 01:52:13,49.7834,-74.8492,53.38,56,65,6.4
139,Bilma,NE,2021-05-25 01:52:13,18.6853,12.9164,86.63,8,0,12.39
140,Grindavik,IS,2021-05-25 01:52:13,63.8424,-22.4338,43.27,72,0,18.48
141,East London,ZA,2021-05-25 01:52:14,-33.0153,27.9116,75.88,36,100,7.72
142,Pouembout,NC,2021-05-25 01:52:14,-21.1333,164.9,75.9,51,7,13.87
143,Lethem,GY,2021-05-25 01:52:14,3.3803,-59.7968,76.53,90,100,8.95
144,Elat,IL,2021-05-25 01:52:15,29.5581,34.9482,71.44,43,0,9.22
145,Deputatskiy,RU,2021-05-25 01:52:15,69.3,139.9,46.74,52,94,7.94
146,Bathsheba,BB,2021-05-25 01:52:15,13.2167,-59.5167,81.21,78,40,15.57
147,Bani Walid,LY,2021-05-25 01:52:16,31.7566,13.9942,71.94,60,69,15.03
148,San Patricio,US,2021-05-25 01:52:16,28.017,-97.5169,80.69,86,0,14.27
149,Vaitape,PF,2021-05-25 01:52:16,-16.5167,-151.75,81.32,75,100,7.29
150,Cap Malheureux,MU,2021-05-25 01:52:17,-19.9842,57.6142,72.09,74,8,11.72
151,Nelson,NZ,2021-05-25 01:47:19,-41.2833,173.2833,53.8,53,3,1.23
152,Ha Tinh,VN,2021-05-25 01:51:24,18.3333,105.9,81.63,85,100,7.92
153,Shieli,KZ,2021-05-25 01:52:17,44.1667,66.75,79.02,32,28,5.35
154,Saint George,US,2021-05-25 01:52:18,37.1041,-113.5841,82.87,13,1,3.0
155,Nelson Bay,AU,2021-05-25 01:52:18,-32.7167,152.15,71.11,59,26,1.01
156,Makakilo City,US,2021-05-25 01:52:18,21.3469,-158.0858,83.95,65,90,12.66
157,Pozo Colorado,PY,2021-05-25 01:52:19,-23.4923,-58.7972,56.08,44,98,3.89
158,Mehriz,IR,2021-05-25 01:52:19,31.5917,54.4318,73.9,22,0,2.3
159,Limbang,MY,2021-05-25 01:52:19,4.75,115.0,86.11,83,100,0.85
160,Buraydah,SA,2021-05-25 01:52:20,26.326,43.975,79.25,15,2,10.71
161,Banda Aceh,ID,2021-05-25 01:50:44,5.5577,95.3222,83.26,74,100,5.82
162,Leningradskiy,RU,2021-05-25 01:52:20,69.3833,178.4167,35.22,91,100,9.71
163,Chokurdakh,RU,2021-05-25 01:52:20,70.6333,147.9167,35.4,100,97,4.43
164,Ternate,ID,2021-05-25 01:52:21,0.8,127.4,85.01,71,32,7.09
165,Diu,IN,2021-05-25 01:52:21,20.7141,70.9822,82.18,77,95,17.27
166,Tarauaca,BR,2021-05-25 01:52:21,-8.1614,-70.7656,68.4,99,98,2.15
167,Victoria,HK,2021-05-25 01:50:08,22.2855,114.1577,86.38,85,15,1.99
168,Bac Lieu,VN,2021-05-25 01:52:22,9.285,105.7244,80.42,82,100,9.15
169,Takoradi,GH,2021-05-25 01:52:22,4.8845,-1.7554,79.93,86,97,6.91
170,Saint Anthony,US,2021-05-25 01:52:23,45.0205,-93.218,82.33,82,1,9.84
171,Katangli,RU,2021-05-25 01:52:23,51.7102,143.2326,36.12,87,100,10.87
172,Antalaha,MG,2021-05-25 01:52:23,-14.9003,50.2788,67.19,89,8,7.23
173,Vardo,NO,2021-05-25 01:52:24,70.3705,31.1107,36.03,66,15,4.09
174,Port Hardy,CA,2021-05-25 01:52:24,50.6996,-127.4199,51.98,87,90,6.91
175,Ballina,AU,2021-05-25 01:52:24,-28.8667,153.5667,68.18,94,90,5.75
176,Korla,CN,2021-05-25 01:52:25,41.7597,86.1469,75.94,16,100,3.0
177,Kumluca,TR,2021-05-25 01:52:25,36.3703,30.2869,75.94,34,4,6.51
178,Maple Creek,CA,2021-05-25 01:52:25,49.9168,-109.4848,50.05,81,100,20.71
179,Clyde River,CA,2021-05-25 01:52:26,70.4692,-68.5914,23.23,93,90,31.07
180,Alofi,NU,2021-05-25 01:52:26,-19.0595,-169.9187,84.09,79,12,9.22
181,Palauig,PH,2021-05-25 01:52:26,15.435,119.9045,87.06,60,6,4.56
182,Pagsangahan,PH,2021-05-25 01:52:27,13.2158,122.5431,85.59,67,99,1.9
183,Nome,US,2021-05-25 01:51:38,64.5011,-165.4064,64.11,36,1,12.66
184,Souillac,MU,2021-05-25 01:52:27,-20.5167,57.5167,71.98,77,40,9.93
185,La Palma,US,2021-05-25 01:49:33,33.8464,-118.0467,92.71,32,20,5.99
186,Salalah,OM,2021-05-25 01:52:28,17.0151,54.0924,78.12,85,46,2.19
187,Verkhnevilyuysk,RU,2021-05-25 01:52:28,63.4453,120.3167,43.32,89,100,6.82
188,Grand Gaube,MU,2021-05-25 01:52:28,-20.0064,57.6608,72.0,73,8,12.37
189,Goure,NE,2021-05-25 01:52:29,13.9835,10.2704,81.0,12,11,4.79
190,Tongchuan,CN,2021-05-25 01:52:29,35.0806,109.0897,72.03,22,100,4.76
191,Mitsamiouli,KM,2021-05-25 01:52:29,-11.3847,43.2844,77.31,65,6,6.38
192,Robertsport,LR,2021-05-25 01:52:30,6.7533,-11.3686,76.91,94,100,7.43
193,Pishin,PK,2021-05-25 01:52:30,30.5803,66.9961,74.97,13,0,0.67
194,Urengoy,RU,2021-05-25 01:52:30,65.9667,78.3667,35.02,50,34,10.09
195,Mahebourg,MU,2021-05-25 01:52:31,-20.4081,57.7,71.89,78,40,3.44
196,Port-Cartier,CA,2021-05-25 01:52:31,50.0334,-66.8654,50.94,59,18,9.24
197,Nishihara,JP,2021-05-25 01:52:31,26.1842,127.7558,78.85,79,90,6.58
198,Bambous Virieux,MU,2021-05-25 01:52:32,-20.3428,57.7575,71.85,77,40,9.89
199,Avarua,CK,2021-05-25 01:48:16,-21.2078,-159.775,84.25,79,20,13.8
200,Subkhankulovo,RU,2021-05-25 01:52:32,54.5574,53.8115,63.45,93,100,9.1
201,Omboue,GA,2021-05-25 01:52:32,-1.5746,9.2618,77.63,92,91,7.14
202,Houma,US,2021-05-25 01:50:57,29.5958,-90.7195,78.01,78,1,4.61
203,Hithadhoo,MV,2021-05-25 01:52:33,-0.6,73.0833,83.98,71,100,17.78
204,Bhadrachalam,IN,2021-05-25 01:52:33,17.6667,80.8833,90.79,30,100,5.14
205,Dalvik,IS,2021-05-25 01:52:34,65.9702,-18.5286,40.93,85,93,5.14
206,Dasoguz,TM,2021-05-25 01:52:34,41.8363,59.9666,71.71,25,0,3.29
207,Bibiani,GH,2021-05-25 01:52:34,6.4635,-2.3194,71.89,98,96,1.7
208,Talakan,RU,2021-05-25 01:52:35,50.3167,130.3667,56.28,50,72,5.93
209,Marrakesh,MA,2021-05-25 01:52:35,31.6315,-8.0083,60.87,55,40,5.75
210,Mapiripan,CO,2021-05-25 01:52:35,2.8892,-72.1256,74.84,95,97,1.9
211,Shizunai,JP,2021-05-25 01:52:36,42.3339,142.3669,52.81,98,85,7.2
212,Brainerd,US,2021-05-25 01:52:36,46.358,-94.2008,80.38,27,75,5.75
213,Monteagudo,BO,2021-05-25 01:52:36,-19.8167,-63.9833,50.79,76,77,1.92
214,Soverato,IT,2021-05-25 01:52:37,38.685,16.5499,66.15,77,36,10.49
215,Solnechnyy,RU,2021-05-25 01:52:37,50.7214,136.6319,39.22,97,100,5.73
216,Murakami,JP,2021-05-25 01:52:37,38.2333,139.4833,67.89,67,65,8.68
217,Guiratinga,BR,2021-05-25 01:52:38,-16.3494,-53.7583,71.29,78,100,1.41
218,Lobito,AO,2021-05-25 01:52:38,-12.3481,13.5456,74.88,80,7,2.98
219,Guerrero Negro,MX,2021-05-25 01:50:44,27.9769,-114.0611,64.47,73,7,15.55
220,Nurlat,RU,2021-05-25 01:52:38,54.4277,50.8051,59.41,89,100,8.08
221,Longyearbyen,SJ,2021-05-25 01:52:39,78.2186,15.6401,26.44,68,75,10.36
222,Kaitangata,NZ,2021-05-25 01:52:39,-46.2817,169.8464,48.92,61,0,4.09
223,Ampanihy,MG,2021-05-25 01:52:40,-24.7,44.75,61.29,89,0,4.07
224,Cocal,BR,2021-05-25 01:52:40,-28.6167,-49.35,49.77,77,0,3.96
225,Cabedelo,BR,2021-05-25 01:52:40,-6.9811,-34.8339,75.87,77,88,9.84
226,Inhambane,MZ,2021-05-25 01:52:41,-23.865,35.3833,68.29,64,100,5.23
227,Ambilobe,MG,2021-05-25 01:52:41,-13.2,49.05,67.82,88,10,2.73
228,Thinadhoo,MV,2021-05-25 01:52:41,0.5333,72.9333,84.52,68,80,17.58
229,Birsk,RU,2021-05-25 01:52:42,55.4211,55.5428,63.19,86,36,10.38
230,Brae,GB,2021-05-25 01:52:42,60.3964,-1.353,46.31,91,1,6.55
231,Vila Velha,BR,2021-05-25 01:52:42,-20.3297,-40.2925,75.15,83,75,8.01
232,Hofn,IS,2021-05-25 01:52:43,64.2539,-15.2082,41.43,66,22,14.67
233,Erzin,TR,2021-05-25 01:52:43,36.9559,36.2,68.0,64,0,1.41
234,Maumere,ID,2021-05-25 01:52:43,-8.6199,122.2111,82.96,63,30,1.92
235,Caraz,PE,2021-05-25 01:52:44,-9.0486,-77.81,61.75,85,24,3.2
236,Airai,TL,2021-05-25 01:52:44,-8.9266,125.4092,72.14,61,49,3.56
237,Katsuura,JP,2021-05-25 01:52:44,35.1333,140.3,80.24,71,52,7.29
238,Union,US,2021-05-25 01:52:43,40.6334,-74.2663,61.3,54,90,8.05
