City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Kudahuvadhoo,MV,2.6708,72.8944,83.43,74,100,18.3,overcast clouds
129,Asau,RO,46.4333,26.4,64.96,53,75,1.92,broken clouds
130,Jha Jha,IN,24.7667,86.3667,106.39,21,2,10.83,clear sky
131,Chapais,CA,49.7834,-74.8492,56.98,94,100,10.33,overcast clouds
132,Bubaque,GW,11.2833,-15.8333,79.25,82,82,12.28,broken clouds
133,Alyangula,AU,-13.8483,136.4192,78.67,53,40,15.12,scattered clouds
134,Ballina,AU,-28.8667,153.5667,68.18,64,40,16.11,scattered clouds
135,Cidreira,BR,-30.1811,-50.2056,65.01,87,56,5.82,broken clouds
136,Saint-Philippe,RE,-21.3585,55.7679,80.19,80,42,12.28,scattered clouds
137,Bredasdorp,ZA,-34.5322,20.0403,53.28,100,0,3.83,clear sky
138,Bethel,US,41.3712,-73.414,65.08,92,6,2.55,clear sky
139,Tripoli,LY,32.8752,13.1875,72.84,54,74,15.61,broken clouds
140,Santa Margherita Ligure,IT,44.3346,9.212,71.53,68,18,1.99,light rain
141,Nikolskoye,RU,59.7035,30.7861,65.39,47,49,3.65,scattered clouds
142,Fortuna,US,40.5982,-124.1573,55.42,69,1,5.75,clear sky
143,Zhigansk,RU,66.7697,123.3711,44.55,77,100,4.59,overcast clouds
144,Isangel,VU,-19.55,169.2667,80.71,65,75,4.88,broken clouds
145,Oktyabrskiy,RU,54.4815,53.471,62.26,50,65,10.04,broken clouds
146,Lata,PT,40.1629,-8.3327,55.72,71,12,3.58,few clouds
147,Ishige,JP,36.1167,139.9667,78.91,64,99,7.2,overcast clouds
148,Iskateley,RU,67.6803,53.1512,53.6,51,96,10.54,overcast clouds
149,Kenai,US,60.5544,-151.2583,60.89,71,1,10.36,clear sky
150,Kloulklubed,PW,7.0419,134.2556,78.98,83,100,4.74,overcast clouds
151,Bismarck,US,46.8083,-100.7837,75.04,51,1,0.0,clear sky
152,Brae,GB,60.3964,-1.353,53.51,82,89,8.46,overcast clouds
153,Mora,CM,11.0461,14.1401,81.99,50,95,5.35,overcast clouds
154,Lorengau,PG,-2.0226,147.2712,85.17,68,27,5.44,scattered clouds
155,Alofi,NU,-19.0595,-169.9187,75.09,78,82,10.36,broken clouds
156,Atuona,PF,-9.8,-139.0333,79.39,79,40,18.79,scattered clouds
157,Morro Bay,US,35.3658,-120.8499,65.75,87,33,4.45,scattered clouds
158,Kamaishi,JP,39.2667,141.8833,77.95,59,98,9.08,overcast clouds
159,Dali,CN,25.7,100.1833,78.15,47,66,2.21,broken clouds
160,Dunedin,NZ,-45.8742,170.5036,54.81,64,100,5.01,light rain
161,Mar Del Plata,AR,-38.0023,-57.5575,53.1,89,99,1.01,mist
162,Lubumbashi,CD,-11.6609,27.4794,59.49,88,0,5.75,clear sky
163,Coquimbo,CL,-29.9533,-71.3436,56.93,94,90,3.24,overcast clouds
164,Tiznit,MA,29.5833,-9.5,57.7,88,36,1.05,scattered clouds
165,Visby,SE,57.6409,18.296,63.05,51,4,0.0,clear sky
166,Pineville,US,31.3224,-92.4343,73.69,91,90,4.7,moderate rain
167,Aransas Pass,US,27.9095,-97.15,78.8,88,1,1.99,clear sky
168,Kapaa,US,22.0752,-159.319,77.32,76,90,13.67,overcast clouds
169,Vyshneve,UA,50.3891,30.3705,66.16,52,0,6.71,clear sky
170,Namie,JP,37.4833,141.0,82.54,72,60,1.01,broken clouds
171,Santa Cruz,BO,-17.8,-63.1667,71.06,100,40,14.5,scattered clouds
172,Wattegama,LK,6.7989,81.4808,85.12,50,100,4.27,overcast clouds
173,Narsaq,GL,60.9167,-46.05,42.28,64,100,5.64,overcast clouds
174,Babstovo,RU,48.1167,132.4833,62.31,71,93,8.57,light rain
175,Katobu,ID,-4.9408,122.5276,88.21,54,87,8.93,overcast clouds
176,Vanimo,PG,-2.6741,141.3028,76.75,90,100,6.82,moderate rain
177,Buenos Aires,AR,-34.6132,-58.3772,58.98,88,75,14.97,moderate rain
178,Kokopo,PG,-4.352,152.2633,83.25,77,34,3.62,light rain
179,Kodiak,US,57.79,-152.4072,58.51,44,1,13.8,clear sky
180,Port Augusta,AU,-32.5,137.7667,66.7,42,75,3.83,broken clouds
181,Chakulia,IN,22.4833,86.7167,97.12,31,5,10.42,clear sky
182,Egvekinot,RU,66.3167,-179.1667,37.09,72,23,2.98,few clouds
183,Mahebourg,MU,-20.4081,57.7,78.26,78,40,12.66,scattered clouds
184,Padang,ID,-0.9492,100.3543,78.35,90,100,6.26,light rain
185,Yulara,AU,-25.2406,130.9889,67.84,32,0,10.36,clear sky
186,Barrancabermeja,CO,7.0653,-73.8547,74.34,97,99,1.63,overcast clouds
187,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.47,98,77,0.4,broken clouds
188,Atar,MR,20.5169,-13.0499,84.16,24,71,13.27,broken clouds
189,Port Macquarie,AU,-31.4333,152.9167,62.56,57,8,8.68,clear sky
190,Japura,ID,-0.3167,102.35,91.36,52,100,5.53,overcast clouds
191,Richards Bay,ZA,-28.783,32.0377,59.22,74,44,9.22,scattered clouds
192,Manggar,ID,-2.8833,108.2667,86.92,65,9,10.47,clear sky
193,Burgersdorp,ZA,-30.9977,26.3286,39.83,33,0,3.76,clear sky
194,Iqaluit,CA,63.7506,-68.5145,35.33,74,90,13.0,light snow
195,Kiunga,PG,-6.1219,141.2906,73.17,99,100,0.43,overcast clouds
196,Misratah,LY,32.3754,15.0925,71.2,67,58,8.41,broken clouds
197,Samarai,PG,-10.6167,150.6667,77.16,90,100,9.66,overcast clouds
198,Altamont,US,42.2068,-121.7372,67.84,40,1,14.97,clear sky
199,Ampanihy,MG,-24.7,44.75,69.37,71,23,8.01,few clouds
200,Ahipara,NZ,-35.1667,173.1667,59.94,77,100,13.22,light rain
201,Kyabe,TD,9.4515,18.9449,81.16,59,86,5.53,overcast clouds
202,Carnarvon,AU,-24.8667,113.6333,78.87,34,19,6.91,few clouds
203,Fairbanks,US,64.8378,-147.7164,68.0,46,40,6.91,scattered clouds
204,Sioux Lookout,CA,50.1001,-91.917,71.98,68,75,3.44,broken clouds
205,Port Elizabeth,ZA,-33.918,25.5701,43.09,93,0,2.3,clear sky
206,Ribeira Grande,PT,38.5167,-28.7,63.07,88,98,6.82,overcast clouds
207,Tanda,IN,26.55,82.65,104.7,23,57,9.24,broken clouds
208,Souillac,MU,-20.5167,57.5167,78.37,78,40,16.08,scattered clouds
209,Sepatan,ID,-6.1189,106.575,96.26,66,20,8.99,few clouds
210,Kirkwall,GB,58.9848,-2.9587,50.05,93,40,0.0,mist
211,Nanortalik,GL,60.1432,-45.2371,38.77,81,100,3.89,overcast clouds
212,Bilma,NE,18.6853,12.9164,91.22,13,75,8.08,broken clouds
213,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,93,90,17.27,overcast clouds
214,Faanui,PF,-16.4833,-151.75,81.12,74,77,8.63,light rain
215,Wanning,CN,18.8003,110.3967,86.14,77,84,7.47,moderate rain
216,Chiang Mai,TH,18.75,99.0,96.91,61,40,1.99,scattered clouds
217,Duluth,US,46.7833,-92.1066,82.98,47,1,6.91,clear sky
218,Mayya,RU,61.7333,130.2811,85.32,21,4,9.82,clear sky
219,Wanaka,NZ,-44.7,169.15,47.71,95,92,9.42,light rain
220,Korla,CN,41.7597,86.1469,90.32,13,22,3.74,few clouds
221,Buin,CL,-33.7333,-70.75,61.74,89,72,3.91,broken clouds
222,Ketchikan,US,55.3422,-131.6461,48.67,93,90,13.8,light rain
223,Chama,CH,47.1821,8.4636,64.62,90,90,1.01,overcast clouds
224,Vitre,FR,48.1178,-1.2058,48.02,88,0,5.08,clear sky
225,Tamandare,BR,-8.7597,-35.1047,73.98,86,7,3.09,clear sky
226,Dongsheng,CN,39.8161,109.9776,77.83,10,0,12.37,clear sky
227,San Francisco,US,37.7749,-122.4194,60.82,85,20,1.99,few clouds
228,Selkirk,CA,50.1436,-96.8845,69.87,93,22,4.14,few clouds
229,North Bend,US,43.4065,-124.2243,54.86,83,55,2.68,broken clouds
230,Bontang,ID,0.1333,117.5,84.67,71,34,7.83,scattered clouds
231,Urusha,RU,54.05,122.9,75.63,22,3,7.02,clear sky
232,Colesberg,ZA,-30.72,25.0972,40.15,30,1,4.7,clear sky
233,Tautira,PF,-17.7333,-149.15,78.82,74,27,11.92,scattered clouds
234,Kushima,JP,31.4583,131.2333,71.64,87,100,3.65,light rain
235,Namibe,AO,-15.1961,12.1522,71.19,57,0,2.77,clear sky
236,Keelung,TW,25.1283,121.7419,84.4,91,100,8.97,light rain
237,Ambilobe,MG,-13.2,49.05,80.17,62,1,3.04,clear sky
238,Gizo,SB,-8.103,156.8419,83.59,70,74,5.61,broken clouds
239,Ilulissat,GL,69.2167,-51.1,40.42,61,36,9.55,scattered clouds
240,Buala,SB,-8.145,159.5921,82.92,74,49,4.41,light rain
241,Domoni,KM,-12.2569,44.5319,79.23,75,70,13.71,broken clouds
242,Labuan,MY,5.2767,115.2417,91.56,74,40,0.0,scattered clouds
243,Tamworth,GB,52.634,-1.6959,54.46,84,0,3.15,clear sky
244,Meulaboh,ID,4.1363,96.1285,84.25,62,100,8.28,overcast clouds
245,Ishigaki,JP,24.3448,124.1572,78.93,100,75,16.11,moderate rain
246,Tiksi,RU,71.6872,128.8694,38.53,71,99,10.56,overcast clouds
247,Torbay,CA,47.6666,-52.7314,54.75,97,90,12.66,mist
248,Cururupu,BR,-1.8283,-44.8683,74.12,95,4,3.76,clear sky
249,Salym,RU,60.0625,71.4789,70.92,33,25,14.83,scattered clouds
250,Khandyga,RU,62.6667,135.6,82.27,25,8,3.29,clear sky
251,Basudebpur,IN,21.1353,86.7386,99.12,41,9,9.95,clear sky
252,Ostrovnoy,RU,68.0531,39.5131,47.48,83,81,6.93,broken clouds
253,Kangaatsiaq,GL,68.3065,-53.4641,36.43,87,96,16.2,overcast clouds
254,Acajutla,SV,13.5928,-89.8275,80.8,85,98,8.19,overcast clouds
255,Oga,IT,46.4631,10.347,54.68,89,81,1.34,broken clouds
256,Shaumiani,GE,41.3527,44.7618,64.22,48,0,4.72,clear sky
257,Teeli,RU,51.0333,90.2333,67.75,49,86,17.72,overcast clouds
258,Hobyo,SO,5.3505,48.5268,82.13,70,0,19.53,clear sky
259,Palma Del Rio,ES,37.7002,-5.2812,67.06,82,36,1.28,scattered clouds
260,The Pas,CA,53.8251,-101.2541,59.02,67,1,4.38,clear sky
261,The Valley,AI,18.217,-63.0578,80.46,76,99,21.36,overcast clouds
262,Sale,MA,34.0389,-6.8166,61.75,100,75,3.44,broken clouds
263,Norton,ZW,-17.8833,30.7,30.09,68,40,12.71,scattered clouds
264,Washougal,US,45.5826,-122.3534,64.83,59,75,1.68,broken clouds
265,Mao,ES,39.8885,4.2658,68.56,94,75,12.66,mist
266,Lampari,PH,6.3125,124.8803,86.74,77,99,2.42,overcast clouds
267,Sitka,US,57.0531,-135.33,51.69,82,75,0.0,broken clouds
268,Hailar,CN,49.2,119.7,68.7,38,69,14.03,broken clouds
269,Sainte-Agathe-Des-Monts,CA,46.0501,-74.2825,61.48,98,36,5.03,scattered clouds
270,Alice Springs,AU,-23.7,133.8833,65.75,37,0,15.43,clear sky
271,Poum,NC,-20.2333,164.0167,75.15,72,30,10.38,scattered clouds
272,Puerto Colombia,CO,10.9878,-74.9547,80.69,83,100,15.59,overcast clouds
273,Vila Velha,BR,-20.3297,-40.2925,68.95,97,0,10.0,clear sky
274,Uarini,BR,-2.99,-65.1083,74.44,95,87,0.69,overcast clouds
275,Barrow,US,71.2906,-156.7887,32.02,86,90,10.36,mist
276,Tarakan,ID,3.3,117.6333,89.1,74,40,4.61,scattered clouds
277,Dubbo,AU,-32.25,148.6167,57.33,41,0,9.22,clear sky
278,Haines Junction,CA,60.7522,-137.5108,55.35,38,97,4.61,overcast clouds
279,Verkhnyaya Inta,RU,65.9811,60.3094,58.06,54,99,14.45,overcast clouds
280,Matagami,CA,49.7502,-77.6328,57.31,94,90,8.95,overcast clouds
281,Menongue,AO,-14.6585,17.691,46.65,40,0,4.36,clear sky
282,Hualmay,PE,-11.0964,-77.6139,62.65,88,13,6.51,few clouds
283,Provideniya,RU,64.3833,-173.3,39.04,67,73,8.55,broken clouds
284,Sur,OM,22.5667,59.5289,92.98,54,0,7.74,clear sky
285,Carauari,BR,-4.8828,-66.8958,75.92,87,78,1.07,broken clouds
286,Kempele,FI,64.9131,25.5034,68.02,49,0,4.61,clear sky
287,Kalabo,ZM,-14.97,22.6814,52.18,58,2,5.82,clear sky
288,Longyearbyen,SJ,78.2186,15.6401,31.62,90,68,7.87,broken clouds
289,Kendal,GB,54.3268,-2.7476,53.78,82,1,1.19,clear sky
290,Nanga Eboko,CM,4.6833,12.3667,69.53,100,100,0.96,moderate rain
291,Pangnirtung,CA,66.1451,-65.7125,27.18,77,93,9.89,overcast clouds
292,Pitkyaranta,RU,61.5734,31.4792,58.96,63,0,5.55,clear sky
293,Chateauroux,FR,46.8167,1.7,53.6,94,90,6.91,overcast clouds
294,Luderitz,NA,-26.6481,15.1594,66.36,30,0,23.87,clear sky
295,Saldanha,ZA,-33.0117,17.9442,42.85,45,5,6.29,clear sky
296,Soderhamn,SE,61.3037,17.0592,63.99,48,24,2.28,few clouds
297,Tabou,CI,4.423,-7.3528,77.41,88,100,2.68,moderate rain
298,Colac,AU,-38.3333,143.5833,55.15,71,100,16.24,heavy intensity rain
299,Mehamn,NO,71.0357,27.8492,44.28,82,99,23.33,overcast clouds
300,Cap Malheureux,MU,-19.9842,57.6142,78.48,77,10,10.0,clear sky
301,Ancud,CL,-41.8697,-73.8203,46.22,80,6,10.02,light rain
302,Necochea,AR,-38.5473,-58.7368,53.01,77,100,6.53,overcast clouds
303,Cayenne,GF,4.9333,-52.3333,77.09,89,0,6.71,clear sky
304,Jurado,CO,7.1053,-77.7641,78.22,90,100,1.81,light rain
305,Calabozo,VE,8.9242,-67.4293,74.98,92,92,6.58,overcast clouds
306,Hamilton,US,39.1834,-84.5333,69.55,88,1,3.44,clear sky
307,Constanza,DE,47.6603,9.1758,64.54,95,95,1.99,overcast clouds
308,Hasaki,JP,35.7333,140.8333,75.6,69,61,5.17,broken clouds
309,Esperance,AU,-33.8667,121.9,67.84,48,47,11.63,scattered clouds
310,Russell,US,32.3502,-85.1999,73.11,94,90,0.76,mist
311,Chuy,UY,-33.6971,-53.4616,62.78,97,99,3.11,overcast clouds
312,Najran,SA,17.4924,44.1277,90.25,10,2,8.3,clear sky
313,Chachapoyas,PE,-6.2317,-77.869,53.37,91,90,3.15,overcast clouds
314,Lusambo,CD,-4.9667,23.45,75.52,67,34,1.83,scattered clouds
315,Mpika,ZM,-11.8343,31.4529,54.91,86,49,12.62,scattered clouds
316,Garmsar,IR,35.2182,52.3409,97.88,7,0,13.44,clear sky
317,Zenzeli,RU,45.9241,47.0474,69.39,54,100,9.28,overcast clouds
318,Winnemucca,US,40.973,-117.7357,76.1,23,1,3.76,clear sky
319,Banda Aceh,ID,5.5577,95.3222,86.49,58,100,10.29,overcast clouds
320,Beringovskiy,RU,63.05,179.3167,39.88,80,58,1.81,broken clouds
321,Bahia Blanca,AR,-38.7196,-62.2724,52.43,54,100,6.49,overcast clouds
322,Bilibino,RU,68.0546,166.4372,66.49,33,100,17.09,overcast clouds
323,Bongandanga,CD,1.5,21.05,72.73,89,91,0.54,overcast clouds
324,Yeppoon,AU,-23.1333,150.7333,74.98,50,0,7.16,clear sky
325,Palana,RU,59.1167,159.9667,45.73,72,100,5.88,overcast clouds
